critic,title,rating
Jack Matthews,阅读推荐读书分享会PPT,3.0
Jack Matthews,大理石纹理极简商务PPT,4.0
Jack Matthews,复古五一劳动节主题班会PPT,3.5
Jack Matthews,社工在行动“全能宝贝计划”,5.0
Jack Matthews,万国语社第三期英语角活动,3.0
Mick LaSalle,阅读推荐读书分享会PPT,3.0
Mick LaSalle,大理石纹理极简商务PPT,4.0
Mick LaSalle,团员共青团章程PPT,2.0
Mick LaSalle,社工在行动“全能宝贝计划”,3.0
Mick LaSalle,复古五一劳动节主题班会PPT,2.0
Mick LaSalle,万国语社第三期英语角活动,3.0
4Claudia Puig,团员共青团章程PPT,3.0
Claudia Puig,复古五一劳动节主题班会PPT,2.5
Claudia Puig,社工在行动“全能宝贝计划”,4.0
Claudia Puig,万国语社第三期英语角活动,4.5
Lisa Rose,阅读推荐读书分享会PPT,2.5
Lisa Rose,大理石纹理极简商务PPT,3.5
Lisa Rose,团员共青团章程PPT,3.0
Lisa Rose,社工在行动“全能宝贝计划”,3.5
Lisa Rose,万国语社第三期英语角活动,3.0
Lisa Rose,复古五一劳动节主题班会PPT,2.5
Abel,大理石纹理极简商务PPT,4.5
Abel,社工在行动“全能宝贝计划”,4.0
Gene Seymour,阅读推荐读书分享会PPT,3.0
Gene Seymour,大理石纹理极简商务PPT,3.5
Gene Seymour,团员共青团章程PPT,1.5
Gene Seymour,社工在行动“全能宝贝计划”,5.0
Gene Seymour,复古五一劳动节主题班会PPT,3.5
Gene Seymour,万国语社第三期英语角活动,3.0
