critic,title,rating
Jack Matthews,Pipis in spicy lemongrass tomato broth(cooking course),3.0
Jack Matthews,Web development(javascript course),4.0
Jack Matthews,Web development(javascript course)II,3.5
Jack Matthews,Android programming(programming course),5.0
Jack Matthews,Financial ppt preparation(economy course)s,3.0
Mick LaSalle,Pipis in spicy lemongrass tomato broth(cooking course),3.0
Mick LaSalle,Web development(javascript course),4.0
Mick LaSalle,Android programming(programming course)2,2.0
Mick LaSalle,Android programming(programming course),3.0
Mick LaSalle,Web development(javascript course)II,2.0
Mick LaSalle,Financial ppt preparation(economy course)s,3.0
Claudia Puig,Android programming(programming course)2,3.0
Claudia Puig,Web development(javascript course)II,2.5
Claudia Puig,Android programming(programming course),4.0
Claudia Puig,Financial ppt preparation(economy course)s,4.5
Lisa Rose,Pipis in spicy lemongrass tomato broth(cooking course),5.0
Lisa Rose,Web development(javascript course),3.5
Lisa Rose,Android programming(programming course)2,3.0
Lisa Rose,Android programming(programming course),3.5
Lisa Rose,Financial ppt preparation(economy course)s,3.0
Lisa Rose,Web development(javascript course)II,2.5
Abel,Web development(javascript course),4.5
Abel,Financial ppt preparation(economy course)s,3.0
Abel,Pipis in spicy lemongrass tomato broth(cooking course),5.0
guest_test,Web development(javascript course),3.5
guest_test,Android programming(programming course)2,1.5
guest_test,Android programming(programming course),5.0
guest_test,Web development(javascript course)II,3.5
guest_test,Financial ppt preparation(economy course)s,3.0
Gene Seymour,Pipis in spicy lemongrass tomato broth(cooking course),3.0
Gene Seymour,Web development(javascript course),3.5
Gene Seymour,Android programming(programming course)2,1.5
Gene Seymour,Android programming(programming course),5.0
Gene Seymour,Web development(javascript course)II,3.5
Gene Seymour,Financial ppt preparation(economy course)s,3.0
