critic,title,rating
Jack Matthews,Asia's Cauldron,3.0
Jack Matthews,The China Mirage: The Hidden History of American Disaster in Asia,4.0
Jack Matthews,The China Mirage: The Hidden History of American Disaster in AsiaII,3.5
Jack Matthews,Taiwan: A Political History,5.0
Jack Matthews,The Hundred-Year Marathon: China's Secret Strategy to Replace America as the Global Superpower,3.0
Mick LaSalle,Asia's Cauldron,3.0
Mick LaSalle,The China Mirage: The Hidden History of American Disaster in Asia,4.0
Mick LaSalle,Taiwan: A Political History2,2.0
Mick LaSalle,Taiwan: A Political History,3.0
Mick LaSalle,The China Mirage: The Hidden History of American Disaster in AsiaII,2.0
Mick LaSalle,The Hundred-Year Marathon: China's Secret Strategy to Replace America as the Global Superpower,3.0
Claudia Puig,Taiwan: A Political History2,3.0
Claudia Puig,The China Mirage: The Hidden History of American Disaster in AsiaII,2.5
Claudia Puig,Taiwan: A Political History,4.0
Claudia Puig,The Hundred-Year Marathon: China's Secret Strategy to Replace America as the Global Superpower,4.5
Lisa Rose,Asia's Cauldron,5.0
Lisa Rose,The China Mirage: The Hidden History of American Disaster in Asia,3.5
Lisa Rose,Taiwan: A Political History2,3.0
Lisa Rose,Taiwan: A Political History,3.5
Lisa Rose,The Hundred-Year Marathon: China's Secret Strategy to Replace America as the Global Superpower,3.0
Lisa Rose,The China Mirage: The Hidden History of American Disaster in AsiaII,2.5
Abel,The China Mirage: The Hidden History of American Disaster in Asia,4.5
Abel,The Hundred-Year Marathon: China's Secret Strategy to Replace America as the Global Superpower,3.0
Abel,Asia's Cauldron,5.0
guest_test,The China Mirage: The Hidden History of American Disaster in Asia,3.5
guest_test,Taiwan: A Political History2,1.5
guest_test,Taiwan: A Political History,5.0
guest_test,The China Mirage: The Hidden History of American Disaster in AsiaII,3.5
guest_test,The Hundred-Year Marathon: China's Secret Strategy to Replace America as the Global Superpower,3.0
Gene Seymour,Asia's Cauldron,3.0
Gene Seymour,The China Mirage: The Hidden History of American Disaster in Asia,3.5
Gene Seymour,Taiwan: A Political History2,1.5
Gene Seymour,Taiwan: A Political History,5.0
Gene Seymour,The China Mirage: The Hidden History of American Disaster in AsiaII,3.5
Gene Seymour,The Hundred-Year Marathon: China's Secret Strategy to Replace America as the Global Superpower,3.0
