AHJ	阿坝
AYN	安阳
HSC	韶关
HCJ	河池
XNT	邢台
AAT	阿勒泰
ACX	兴义
AKU	阿克苏
AKA	安康
AQG	安庆
AOG	鞍山
AEB	百色
RLK	巴彦淖尔
RKZ	日喀则
AXF	阿拉善左旗
AVA	安顺
BPX	昌都
BAV	包头
BFJ	毕节
BPL	博乐
BSD	保山
CGD	常德
CIH	长治
CHG	朝阳
CIF	赤峰
CZX	常州
DLU	大理
DDG	丹东
DCY	稻城
DQA	大庆
DAT	大同
DAX	达州
DSN	鄂尔多斯
DOY	东营
DNH	敦煌
EJN	阿拉善额济纳旗
ENH	恩施
ERL	二连浩特
FUO	佛山
ENY	延安
GOQ	格尔木
GYS	广元
GYU	固原
HLD	海拉尔
HDG	邯郸
HIA	淮安
HJJ	怀化
HLH	乌兰浩特
HMI	哈密
HPG	神农架
HTN	和田
JGS	井冈山
JGD	加格达奇
JMU	佳木斯
JGN	嘉峪关
JIC	金昌
JDZ	景德镇
JHG	西双版纳
JIU	九江
HZH	黎平
JIQ	黔江
IQN	庆阳
HYN	台州
HSN	舟山
HXD	德令哈
JUH	池州
KOW	赣州
JXA	鸡西
KJH	凯里
KGT	康定
KRY	克拉玛依
KHG	喀什
KRL	库尔勒
KCA	库车
LCX	龙岩
JUZ	衢州
JZH	九寨沟
LYG	连云港
LLB	荔波
LJG	丽江
LNJ	临沧
LYI	临沂
LZH	柳州
LYA	洛阳
LZO	泸州
LUM	芒市
MDG	牡丹江
LZY	林芝
LDS	伊春
LLF	永州
NBS	长白山
MXZ	梅县
MIG	绵阳
NAO	南充
NDG	齐齐哈尔
NGQ	阿里
OHE	漠河
NTG	南通
NNY	南阳
RHT	阿拉善右旗
PZI	攀枝花
SYM	普洱
TCG	塔城
TCZ	腾冲
THQ	天水
TGO	通辽
TEN	铜仁
TNH	通化
TVS	唐山
WEH	威海
UYN	榆林
WXN	万州
WNH	文山
WUA	乌海
WUS	武夷山
WUZ	梧州
XFN	襄阳
XIC	西昌
XIL	锡林浩特
XNN	西宁
YBP	宜宾
YCU	运城
YIE	阿尔山
YNZ	盐城
YNJ	延吉
YIH	宜昌
YIC	宜春
YIN	伊宁
YIW	义乌
YUS	玉树
YZY	张掖
ZHA	湛江
ZAT	昭通
ZHY	中卫
ZQZ	张家口
NLT	那拉提
LPF	六盘水
ZUH	珠海
HNY	衡阳
NAY	北京
NZH	满洲里
HZG	汉中
WEF	潍坊
SQD	上饶
JIL	吉林
RIZ	日照
BHY	北海
GXH	甘南
JNZ	锦州
LXI	
SHF	石河子
FYJ	抚远
WDS	十堰
DLC	大连
YKH	营口
LLV	吕梁
HTT	花土沟
LFQ	临汾
WUT	忻州
HEK	黑河
BPE	秦皇岛
PVG	上海
BAR	琼海
YTY	扬州
LHW	兰州
XUZ	徐州
XIY	西安
WUX	无锡
XMN	厦门
WNZ	温州
URC	乌鲁木齐
TYN	太原
TSN	天津
SZX	深圳
SYX	三亚
TAO	青岛
TNA	济南
SWA	揭阳
SJW	石家庄
SHE	沈阳
SHA	上海
PEK	北京
NGB	宁波
NNG	南宁
NKG	南京
LXA	拉萨
KWL	桂林
KHN	南昌
KMG	昆明
KWE	贵阳
JJN	晋江
HRB	哈尔滨
HET	呼和浩特
HGH	杭州
HAK	海口
FOC	福州
CTU	成都
CKG	重庆
CSX	长沙
CGQ	长春
HFE	合肥
CAN	广州
YNT	烟台
TXN	黄山
INC	银川
CGO	郑州
DYG	张家界
KJI	布尔津
TLQ	吐鲁番
SQJ	三明
WUH	武汉
DIG	迪庆
NLH	宁蒗
DBC	白城
UCB	乌兰察布
GMQ	果洛
CDE	承德
HUO	霍林郭勒
LDG	罗定
FUG	阜阳
IQM	且末
CWJ	沧源
JMJ	澜沧
NZL	扎兰屯
XYI	三沙
DTU	五大连池
FYN	富蕴
ZYI	遵义
JNG	济宁
WGN	武冈
HUZ	惠州
JSJ	建三江
QSZ	莎车
WMT	遵义
