城市,天气,最低气温,最高气温,日期
舟山,阴转多云,19,26,2017/6/16
朔州,晴转多云,15,33,2017/6/16
太原,晴转多云,17,33,2017/6/16
布鲁姆,多云,18,29,2017/6/30
高涅,云量增加,,24,2017/6/16
绥化,晴转多云,16,30,2017/6/16
帕利基尔,可能有阵雨,,26,2017/6/7
路易港,晴间多云,,20,2017/6/21
顺德,中雨转大雨,26,34,2017/6/16
纳沃伊,晴,,22,2017/6/21
吉林,多云,21,31,2017/6/16
加途,多云,27,28,2017/6/5
卡代,晴间多云,,23,2017/6/16
奥迭,局部地区有雷雨,,24,2017/6/21
阿托马约,一至两场短时阵雨,,24,2017/6/29
帕里斯,多云转阴,,26,2017/6/30
特立尼达,雾,,3,2017/6/1
奥拉,一场阵雨或雷雨,,25,2017/6/27
马雷,晴,,27,2017/6/21
莫茨金村,晴,20,28,2017/6/4
埃博,多云转阴到多云间晴,,22,2017/6/17
布里卡马,多云转阴到多云间晴,,25,2017/6/15
圣佩德罗,一至两场短时阵雨,,23,2017/6/15
马普托,晴转多云,13,26,2017/6/1
莫茨金村,晴,21,28,2017/6/15
铜陵,多云转晴,20,29,2017/6/16
克利夫兰,中雨,23,,2017/6/14
土库曼巴希,晴,,16,2017/6/1
朝格特敖包,晴,9,,2017/6/1
连云港,多云转晴,17,29,2017/6/1
托富阿岛,多云,,24,2017/6/1
萨兰达,晴转晴间多云,,14,2017/6/1
阿格贾贝迪,可能有阵雨,,17,2017/6/1
莫尔岛,多云,29,,2017/6/1
蒙加尔,阵雨和雷雨,,19,2017/6/1
奥霍努阿,多云转阴,,21,2017/6/1
尼库马罗罗岛,几场雷雨,,26,2017/6/1
贝卢尔,晴,,27,2017/6/1
努库费陶环礁,雨和雷雨,27,31,2017/6/1
安康,多云转晴,20,33,2017/6/1
济源,晴,20,37,2017/6/1
卢甘维尔,几场阵雨,,24,2017/6/1
努库纳穆岛,几场阵雨,,24,2017/6/1
拉奇,一场阵雨或雷雨,,14,2017/6/1
菲祖利,可能有阵雨,,15,2017/6/1
杰拉尔顿,多云,4,17,2017/6/1
梅吉特岛,局部地区有雷雨,,28,2017/6/1
埃邦环礁,几场雷雨,,27,2017/6/1
艾珠,几场雷雨,,27,2017/6/1
丁利,多云转阴到多云间晴,,16,2017/6/1
富奈提斯,晴,,28,2017/6/1
沙马基,阵雨,,11,2017/6/1
潜江,多云,21,32,2017/6/1
阿丰,晴间多云,,23,2017/6/1
乌贾雷,几场阵雨和雷雨,,15,2017/6/1
乌蒂里克环礁,局部地区有雷雨,,28,2017/6/1
喀什,晴,15,30,2017/6/1
拉姆拉,多云转阴,,20,2017/6/1
伊尔比德,晴间多云,,15,2017/6/1
托努梅亚岛,多云,24,27,2017/6/1
波兰,多云,,27,2017/6/1
莫尔登岛,几场阵雨,,27,2017/6/1
帕里斯,多云,,27,2017/6/1
伦敦,多云,,27,2017/6/1
洪阿汤加岛,多云,,24,2017/6/1
斯塔巴克岛,几场阵雨,26,30,2017/6/1
纳帕里,有几场阵雨，主要在晚间,,27,2017/6/1
加罗林岛,几场阵雨,,26,2017/6/1
圣诞岛,多云,30,,2017/6/1
悉尼岛,几场雷雨,,26,2017/6/1
拉瓦基岛,几场雷雨,,26,2017/6/1
优雅布,几场雷雨,,27,2017/6/1
恩德伯里岛,几场雷雨,,26,2017/6/1
庞艾,几场阵雨,,24,2017/6/1
霍洛佩卡,几场阵雨,,24,2017/6/1
高岛,多云,,24,2017/6/1
沃莱瓦岛,几场阵雨,,24,2017/6/1
图阿努库,可能有阵雨,,25,2017/6/1
伯尼岛,几场雷雨,,26,2017/6/1
马洛埃拉普环礁,局部地区有雷雨,,28,2017/6/1
扬戈尔,几场雷雨,,27,2017/6/1
乌伊哈岛,几场阵雨,,24,2017/6/1
卡劳岛,多云转阴,,22,2017/6/1
洛方阿岛,几场阵雨,,24,2017/6/1
运城,晴,21,36,2017/6/1
麦基恩岛,几场阵雨和雷雨,,26,2017/6/1
费莱托,可能有阵雨,,25,2017/6/1
洛托福阿,几场阵雨,,24,2017/6/1
通瓦岛,多云,,24,2017/6/1
内亚富,可能有阵雨,,25,2017/6/1
托库岛,可能有阵雨,,25,2017/6/1
安鄂滩,几场雷雨,,27,2017/6/1
奥古兹,多云转阴到多云间晴,,7,2017/6/1
贾普坦岛,几场雷雨,,27,2017/6/1
科姆拉茨,晴间多云,,14,2017/6/1
艾卢克环礁,局部地区有雷雨,,28,2017/6/1
奥尔环礁,几场雷雨,,28,2017/6/1
埃尼威托克环礁,几场阵雨,,28,2017/6/1
拉埃环礁,局部地区有雷雨,,28,2017/6/1
马朱罗,几场阵雨,26,31,2017/6/1
纳穆环礁,局部地区有雷雨,,28,2017/6/1
沃杰环礁,局部地区有雷雨,,28,2017/6/1
贾博尔,几场雷雨,,27,2017/6/1
利基普环礁,局部地区有雷雨,,28,2017/6/1
沃特环礁,局部地区有雷雨,,28,2017/6/1
拜里基岛,几场阵雨和雷雨,,27,2017/6/1
里布岛,局部地区有雷雨,,28,2017/6/1
乌贾环礁,局部地区有雷雨,,28,2017/6/1
基利岛,局部地区有雷雨,27,31,2017/6/1
纳莫里克环礁,几场雷雨,,27,2017/6/1
伊拜岛,局部地区有雷雨,,28,2017/6/1
安尼巴惹,几场雷雨,,27,2017/6/1
努伊环礁,局部地区有雷雨,,28,2017/6/1
纽陶岛,局部地区有雷雨,,28,2017/6/1
努库莱莱环礁,几场雷雨,,27,2017/6/1
纳努曼加岛,局部地区有雷雨,,27,2017/6/1
尼柏,几场雷雨,,27,2017/6/1
部亚达,几场雷雨,,27,2017/6/1
湄泞,几场雷雨,,27,2017/6/1
德尼高莫都,几场雷雨,,27,2017/6/1
埃利亚,零星有雨和毛毛雨,,22,2017/6/1
纳努梅阿环礁,局部地区有雷雨,,27,2017/6/1
阿纳巴尔,几场雷雨,,27,2017/6/1
塔克洛班,小雨转多云,25,31,2017/6/1
沙拉,多云转阴到多云间晴,,17,2017/6/1
白帝,几场雷雨,,27,2017/6/1
帕帕拉,可能有阵雨,,22,2017/6/1
爱沃,几场雷雨,,27,2017/6/1
塔希冈,阵雨和雷雨,,18,2017/6/1
莱芜,晴转多云,19,33,2017/6/1
潍坊,晴,16,31,2017/6/1
奥戈,雨和雷雨,,23,2017/6/1
布阿拉,几场雷雨,,22,2017/6/1
隆加,可能有阵雨,,26,2017/6/1
山南,晴转多云,7,20,2017/6/1
奥基,小雨,27,,2017/6/1
开封,晴,22,35,2017/6/1
张掖,晴,16,31,2017/6/1
吴忠,多云,19,33,2017/6/1
诺尔苏普,多云转阴到多云间晴,,25,2017/6/1
基亚,几场雷雨,,23,2017/6/1
伊瓦洛,雨夹雪,1,3,2017/6/1
雷雷,可能有阵雨,,25,2017/6/1
奥拉尔,一场阵雨或雷雨,,24,2017/6/1
伊桑埃尔,阵雨,,22,2017/6/1
萨卡奥,零星降雨和雷雨,,24,2017/6/1
廷布,间歇性降雨,,10,2017/6/1
奥拉,可能有阵雨,,25,2017/6/1
帕利基尔,几场雷雨,,25,2017/6/1
拉卡托罗,多云转阴到多云间晴,,25,2017/6/1
巴特肯,晴间多云,,13,2017/6/1
拉马普,小雨,27,,2017/6/1
邦莱,多云转阴到多云间晴,,24,2017/6/1
索拉,间歇性降雨,,24,2017/6/1
扬迪纳,几场雷雨,,25,2017/6/1
埃博,几场阵雨和雷雨,,23,2017/6/1
达沙古兹,多云转阴,,23,2017/6/1
孔阿,雨和雷雨,,23,2017/6/1
托阿克,阵雨和雷雨,23,27,2017/6/1
平城市,晴,,11,2017/6/1
努基基,N/A,0,0,2017/6/1
庞戈埃,多云转阴到多云间晴,,25,2017/6/2
锡奥塔,可能有阵雨,,25,2017/6/1
庞戈埃,零星降雨和雷雨,,24,2017/6/1
豪拉哈,几场雷雨,,24,2017/6/1
布马,间歇性降雨,,25,2017/6/1
蒙达,中雨,27,,2017/6/1
塔鲁瓦纳,雨和雷雨,,23,2017/6/1
塔罗阿尼亚拉,可能有阵雨,,25,2017/6/1
东京,小雨,20,27,2017/6/1
托雷翁,多云,22,35,2017/6/1
堪培拉,晴,0,11,2017/6/1
拉斯维加斯,多云,22,30,2017/6/1
迪拜,晴转多云,29,41,2017/6/1
华盛顿,多云,13,27,2017/6/1
底特律,多云,12,23,2017/6/1
阿库雷里,小雨转阴,6,8,2017/6/1
古斯贝,多云转小雨,8,17,2017/6/1
加拉加斯,小雨转阴,26,30,2017/6/1
泗水,多云转晴,20,35,2017/6/1
劳德代尔堡,阴转小雨,27,30,2017/6/1
温莎,晴转多云,11,22,2017/6/1
萨格勒布,阴转多云,18,28,2017/6/1
孔敬,阴,25,31,2017/6/1
道森,多云,5,18,2017/6/1
达拉曼,多云转晴,18,24,2017/6/1
奥卢,多云转阴,1,6,2017/6/1
蒂明斯,小雨转阴,3,8,2017/6/1
俾斯麦,晴转多云,19,31,2017/6/1
新奥尔良,小雨转阴,24,28,2017/6/1
斯利那加,多云,14,25,2017/6/1
布宜诺斯艾利斯,多云转晴,3,16,2017/6/1
科勒尔港,雨夹雪转多云,-2,1,2017/6/1
安特卫普,多云,13,24,2017/6/1
卡尔加里,中雨转小雨,11,22,2017/6/1
蒙特利尔,小雨,8,18,2017/6/1
柏林顿,晴转多云,17,27,2017/6/1
首尔,小雨转晴,16,27,2017/6/1
洛杉矶,多云,15,22,2017/6/1
奥兰多,小雨转阴,21,32,2017/6/1
巴拿马城,阴转多云,25,29,2017/6/1
开罗,多云转阴,19,32,2017/6/1
旧金山,小雨,12,19,2017/6/1
迈阿密,中雨转小雨,25,31,2017/6/1
亚特兰大,阴,18,28,2017/6/1
檀香山,多云转小雨,25,27,2017/6/1
内罗毕,多云,14,24,2017/6/1
巴马科,多云,27,39,2017/6/1
瓦里,小雨转阴,26,30,2017/6/1
伊斯兰堡,多云,25,38,2017/6/1
蒙彼利埃,多云转阴,16,23,2017/6/1
瓦加杜古,多云,26,36,2017/6/1
阿布贾,中雨转小雨,24,33,2017/6/1
阿布扎比,多云转晴,26,39,2017/6/1
波士顿,中雨转小雨,14,21,2017/6/1
波特兰,小雨转多云,9,19,2017/6/1
巴库,多云,18,19,2017/6/1
格拉斯哥,小雨转阴,12,16,2017/6/1
布达佩斯,多云,10,25,2017/6/1
乌兰巴托,大雨转多云,1,14,2017/6/1
火奴鲁鲁,多云转小雨,25,27,2017/6/1
晋州,多云转晴,11,26,2017/6/1
曼谷,中雨转多云,27,35,2017/6/1
清迈,阴转多云,23,32,2017/6/1
河内,多云转阴,27,35,2017/6/1
芒市,中雨,21,28,2017/6/1
吉布提,晴,29,38,2017/6/1
克尔曼,多云转晴,19,34,2017/6/1
苏瓦,阴,24,28,2017/6/1
梅多莱克,阴,15,28,2017/6/1
库马西,多云,25,32,2017/6/1
新加坡,大雨转小雨,27,28,2017/6/1
爱丁堡,阴转小雨,12,17,2017/6/1
布鲁塞尔,多云转小雨,15,24,2017/6/1
圣保罗,小雨,9,22,2017/6/1
桃园,阴转小雨,28,32,2017/6/1
布隆方丹,晴,3,18,2017/6/1
开普敦,小雨转多云,13,23,2017/6/1
波哥大,中雨转小雨,15,20,2017/6/1
布拉迪斯拉发,多云,13,26,2017/6/1
卡拉奇,晴转小雨,28,36,2017/6/1
纽约,多云转小雨,15,25,2017/6/1
雅典,晴,20,28,2017/6/1
奇瓦瓦,阴转多云,18,33,2017/6/1
波拉波拉,多云,29,29,2017/6/1
汉堡,多云,9,18,2017/6/1
嘉义,大雨,28,31,2017/6/1
台东,大雨,28,31,2017/6/1
甲米,小雨转多云,24,28,2017/6/1
荷台达,晴,28,37,2017/6/1
利雅德,晴,23,39,2017/6/1
科威特,晴,26,40,2017/6/1
利马,多云转小雨,20,25,2017/6/1
里贾纳,多云转阴,17,31,2017/6/1
安托法加斯塔,多云,12,17,2017/6/1
蒙特雷,多云,21,31,2017/6/1
维也纳,多云,14,26,2017/6/1
科利马,多云,20,32,2017/6/1
格罗德诺,阴转多云,9,17,2017/6/1
帕拉马里博,中雨转小雨,24,28,2017/6/1
亚兹德,多云转晴,25,39,2017/6/1
姆万扎,多云,18,27,2017/6/1
热那亚,晴转多云,19,23,2017/6/1
利隆圭,多云转晴,12,24,2017/6/1
不来梅,多云,8,20,2017/6/1
圣地亚哥,多云,16,20,2017/6/1
全州,多云转晴,11,25,2017/6/1
鹿儿岛,阴,18,26,2017/6/1
卑尔根,阴,9,12,2017/6/1
台南,大雨,28,31,2017/6/1
济州岛,多云,17,25,2017/6/1
艾斯尤特,晴,21,38,2017/6/1
亚丁,晴,32,35,2017/6/1
阿塔克,晴,29,38,2017/6/1
塔布克,晴,19,36,2017/6/1
班吉,小雨,23,33,2017/6/1
马斯喀特,多云转晴,32,41,2017/6/1
汉诺威,多云,8,21,2017/6/1
哥德堡,多云,10,16,2017/6/1
戈夫,阴,26,29,2017/6/1
卢森堡,阴,16,26,2017/6/1
墨西哥城,中雨,15,21,2017/6/1
费城,多云,15,27,2017/6/1
埃尔帕索,阴,17,30,2017/6/1
敦煌,多云,18,32,2017/6/1
米卢斯,阴,14,24,2017/6/1
廷杜夫,晴转多云,18,38,2017/6/1
班顿杜,多云,22,33,2017/6/1
釜山,多云转晴,19,24,2017/6/1
多哈,晴,30,36,2017/6/1
良乌,多云转阴,26,35,2017/6/1
吉达,晴,32,37,2017/6/1
达尔文,多云,26,30,2017/6/1
奥斯陆,多云转阴,5,17,2017/6/1
危地马拉城,小雨转阴,18,24,2017/6/1
卢萨卡,多云转晴,10,22,2017/6/1
坎贝尔镇,中雨转阴,10,12,2017/6/1
雅温得,多云转小雨,20,27,2017/6/1
格拉茨,小雨转阴,16,23,2017/6/1
万象,大雨转阴,26,33,2017/6/1
卡拉马,晴,7,20,2017/6/1
乔治敦,阴,23,29,2017/6/1
二连浩特,多云转晴,11,28,2017/6/1
库车,小雨,16,26,2017/6/1
腾冲,大雨转中雨,16,22,2017/6/1
别尔哥罗德,多云,9,21,2017/6/1
伯尔尼,小雨转多云,14,24,2017/6/1
耶路撒冷,晴,14,24,2017/6/1
麦地那,晴,29,42,2017/6/1
阿克拉,小雨,23,30,2017/6/1
阿卡普尔科,小雨转阴,28,31,2017/6/1
喀土穆,小雨,26,40,2017/6/1
贝鲁特,多云转晴,19,27,2017/6/1
达博,晴,1,13,2017/6/1
曼彻斯特,小雨,10,23,2017/6/1
屏东,大雨,28,31,2017/6/1
巴林,晴,30,37,2017/6/1
圣地亚哥,多云,5,15,2017/6/1
德岛,阴转多云,18,25,2017/6/1
维多利亚,多云转小雨,27,29,2017/6/1
盐湖城,阴转多云,15,29,2017/6/1
达累斯萨拉姆,小雨,24,29,2017/6/1
隆德里纳,阴转多云,7,14,2017/6/1
晋江,雷阵雨转中雨,26,31,2017/6/1
哈瓦那,雷阵雨,24,31,2017/6/1
里士满,阴转多云,15,29,2017/6/1
拉合尔,晴,26,40,2017/6/1
清莱,多云转阴,23,32,2017/6/1
达沃,多云,26,31,2017/6/1
卢本巴希,多云转晴,11,23,2017/6/1
井冈山,大雨转中雨,19,26,2017/6/1
义乌,阵雨转阴,21,27,2017/6/1
卡拉干达,多云,11,23,2017/6/1
布拉柴维尔,小雨,23,31,2017/6/1
加途,小雨转中雨,26,28,2017/6/1
埃尔卡拉法特,阴转多云,0,4,2017/6/1
卡托维兹,晴转多云,8,20,2017/6/1
喀布尔,多云,8,25,2017/6/1
加德满都,小雨,15,27,2017/6/1
太子港国际,小雨转多云,24,31,2017/6/1
巴格达,晴,20,,2017/6/1
伊尔库茨克,阴转多云,3,15,2017/6/1
日内瓦,中雨转小雨,13,23,2017/6/1
伊兹密尔,晴,16,27,2017/6/1
圣何塞,小雨,27,30,2017/6/1
圣萨尔瓦多,多云,24,27,2017/6/1
莫尔兹比港,阴,24,28,2017/6/1
圣胡安,多云,26,31,2017/6/1
乌汶,阴转多云,26,32,2017/6/1
克拉科夫,晴转多云,9,20,2017/6/1
布鲁姆,多云,19,26,2017/6/1
拉纳卡,晴,20,28,2017/6/1
温得和克,晴,0,15,2017/6/1
恩贾梅纳,阴转小雨,30,41,2017/6/1
吉大港,小雨,26,30,2017/6/1
基加利,多云,15,27,2017/6/1
连江,小雨转暴雨,23,30,2017/6/1
达尔汗,晴转晴间多云,,6,2017/6/1
额尔登特,晴,,3,2017/6/1
巴东,多云,21,32,2017/6/1
哈拉雷,多云,10,21,2017/6/1
维罗纳,多云,18,30,2017/6/1
奥伦堡,多云,16,26,2017/6/1
科纳,小雨,25,31,2017/6/1
鄂木斯克,阴转多云,6,17,2017/6/1
萨克拉门托,多云,16,23,2017/6/1
阿比让,小雨,26,30,2017/6/1
明斯克,小雨,4,13,2017/6/1
木伦,更冷,,0,2017/6/1
北京,晴转阴,17,31,2017/6/1
上海,阵雨转多云,22,32,2017/6/1
天津,晴转多云,18,28,2017/6/1
重庆,阴转多云,21,28,2017/6/1
哈尔滨,雷阵雨,9,18,2017/6/1
齐齐哈尔,阵雨转晴,10,20,2017/6/1
