id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1245129748394590209	1245129748394590209	2020-04-01 07:24:00 CST	2020-04-01	07:24:00	+0800	831606546	swa011	swa011		[automatically] Senkaku Islands were admitted by Japan after Japan took confirmation as China in the Meiji era. ##Senkaku_islands	en	[]	[]	[]	0	0	0	['senkaku_islands']	[]	https://twitter.com/swa011/status/1245129748394590209	False		0								[]				
1245114584681205760	1245114584681205760	2020-04-01 06:23:44 CST	2020-04-01	06:23:44	+0800	831606546	swa011	swa011		[Es automático] Los (capseq) fue incluido después de que Japón llevó el cheque a Meiji Era en China.  ##Senkaku_islands	es	[]	[]	[]	0	0	0	['senkaku_islands']	[]	https://twitter.com/swa011/status/1245114584681205760	False		0								[]				
1245099497530613760	1245099497530613760	2020-04-01 05:23:47 CST	2020-04-01	05:23:47	+0800	831606546	swa011	swa011		[É automático]. As Ilhas de Senkaku eram incluídas depois que o Japão levasse o cheque a Era de Meiji na China.  ##Senkaku_islands	pt	[]	[]	[]	0	0	0	['senkaku_islands']	[]	https://twitter.com/swa011/status/1245099497530613760	False		0								[]				
1245097148149972992	1245097148149972992	2020-04-01 05:14:27 CST	2020-04-01	05:14:27	+0800	516516739	hirochii0	ひろちい0		The Senkaku Islands are the territory of Japan.  https://t.co/daqS0Qh2Wb #Israel #Palestrina #SouthAfrica #Kenya #Africa	en	[]	['https://youtu.be/aC9gyVeCAp0']	[]	0	0	0	['israel', 'palestrina', 'southafrica', 'kenya', 'africa']	[]	https://twitter.com/hirochii0/status/1245097148149972992	False		0								[]				
1245082345041846273	1245082345041846273	2020-04-01 04:15:38 CST	2020-04-01	04:15:38	+0800	460119614	the4cock	普通の人		Senkaku Islands are territories peculiar to Japan #japan	ca	[]	[]	[]	0	0	0	['japan']	[]	https://twitter.com/the4cock/status/1245082345041846273	False		0								[]				
1245066960729079808	1245066960729079808	2020-04-01 03:14:30 CST	2020-04-01	03:14:30	+0800	516516739	hirochii0	ひろちい0		The Senkaku Islands are territories unique to Japan.  https://t.co/daqS0Qh2Wb #Pakistan #UAE #Turkey #Egypt	en	[]	['https://youtu.be/aC9gyVeCAp0']	[]	0	0	0	['pakistan', 'uae', 'turkey', 'egypt']	[]	https://twitter.com/hirochii0/status/1245066960729079808	False		0								[]				
1245039104141611009	1245039104141611009	2020-04-01 01:23:48 CST	2020-04-01	01:23:48	+0800	831606546	swa011	swa011		[C'est automatique]. La Chine a affirmé la possession Senkaku, après qu'il se soit avéré que les ressources seront dans c ##Senkaku_islands	fr	[]	[]	[]	0	0	0	['senkaku_islands']	[]	https://twitter.com/swa011/status/1245039104141611009	False		0								[]				
1245036747253100546	1245036747253100546	2020-04-01 01:14:26 CST	2020-04-01	01:14:26	+0800	516516739	hirochii0	ひろちい0		Senkaku Islands are Japanese territory.  https://t.co/daqS0Qh2Wb #Jamaica #Mexico #Brazil #Argentine #Peru #Colombia #Chile #S	et	[]	['https://youtu.be/aC9gyVeCAp0']	[]	0	0	0	['jamaica', 'mexico', 'brazil', 'argentine', 'peru', 'colombia', 'chile', 's']	[]	https://twitter.com/hirochii0/status/1245036747253100546	False		0								[]				
1245006569810477058	1245006569810477058	2020-03-31 23:14:32 CST	2020-03-31	23:14:32	+0800	516516739	hirochii0	ひろちい0		The Senkaku Islands are the territory of Japan.  https://t.co/daqS0Qh2Wb #Indonesia #Malaysia #Asia #ASEAN	en	[]	['https://youtu.be/aC9gyVeCAp0']	[]	0	0	0	['indonesia', 'malaysia', 'asia', 'asean']	[]	https://twitter.com/hirochii0/status/1245006569810477058	False		0								[]				
1244995073009319937	1244636147168325638	2020-03-31 22:28:50 CST	2020-03-31	22:28:50	+0800	1208474899028705280	mamitshah	MynameAmitshah		@staycalmnmsl @veJnPEmISIAJO3K @globaltimesnews Shut up you Chinese. Who gives you the right to claim Arunachal Pradesh as Chinese. You want to grab everything, Taiwan, south China sea, senkaku Islands. Bloody thieves.	en	[]	[]	[]	1	0	0	[]	[]	https://twitter.com/MAmitshah/status/1244995073009319937	False		0								[{'screen_name': 'staycalmnmsl', 'name': '张小明', 'id': '1243943723643408388'}, {'screen_name': 'veJnPEmISIAJO3K', 'name': 'cRAzy Emliy🌞🇺🇸', 'id': '1244890540543377410'}, {'screen_name': 'globaltimesnews', 'name': 'Global Times', 'id': '49616273'}]				
1244978729241047040	1244978729241047040	2020-03-31 21:23:54 CST	2020-03-31	21:23:54	+0800	831606546	swa011	swa011		[auto]Senkaku Islands are territories of Japan than the Meiji era． ##Senkaku_islands	en	[]	[]	[]	0	0	0	['senkaku_islands']	[]	https://twitter.com/swa011/status/1244978729241047040	False		0								[]				
1244976377268285441	1244976377268285441	2020-03-31 21:14:33 CST	2020-03-31	21:14:33	+0800	516516739	hirochii0	ひろちい0		The Senkaku Islands are territories unique to Japan.  https://t.co/daqS0Qh2Wb #Tibet #Bhutan #Philippine #Singapore #India #Thailand	en	[]	['https://youtu.be/aC9gyVeCAp0']	[]	0	0	0	['tibet', 'bhutan', 'philippine', 'singapore', 'india', 'thailand']	[]	https://twitter.com/hirochii0/status/1244976377268285441	False		0								[]				
1244948547427905537	1244948547427905537	2020-03-31 19:23:58 CST	2020-03-31	19:23:58	+0800	831606546	swa011	swa011		[automatically] Senkaku Islands were admitted by Japan after Japan took confirmation as China in the Meiji era. ##Senkaku_islands	en	[]	[]	[]	0	0	0	['senkaku_islands']	[]	https://twitter.com/swa011/status/1244948547427905537	False		0								[]				
1244946171912585216	1244946171912585216	2020-03-31 19:14:32 CST	2020-03-31	19:14:32	+0800	516516739	hirochii0	ひろちい0		Senkaku Islands are Japanese territory.  https://t.co/daqS0Qh2Wb #Swiss #Sweden #Austria #Russia	et	[]	['https://youtu.be/aC9gyVeCAp0']	[]	0	0	0	['swiss', 'sweden', 'austria', 'russia']	[]	https://twitter.com/hirochii0/status/1244946171912585216	False		0								[]				
