"id","nickname","gender","location","birthday","description","verified_reason","talent","education","work","weibo_num","following","followers"
"6421853571",腾讯视频创造101,女,北京,"",中国首档女团青春成长节目——腾讯视频《创造101》，每周六晚八点，腾讯视频全网独播。,腾讯视频创造101官方微博,"","","",1861,153,1708123
"3194118287",腾讯视频VIP,女,广东,"0001-00-00",腾讯视频VIP会员官方微博,腾讯视频VIP会员官方微博,"","","",30999,812,2065254
"6268474301",和陌生人说话-腾讯新闻,女,北京,"2017-06-06",腾讯新闻出品栏目《和陌生人说话》是由腾讯新闻首席主持人陈晓楠，主持的人物访谈节目。看见你的暖。,腾讯科技（北京）有限公司,"","","",763,269,173596
"7229718199",腾讯NintendoSwitch,女,其他,"",腾讯引进Nintendo Switch官方微博,腾讯引进Nintendo Switch官方微博,"","","",298,14,337249
"2591595652",腾讯视频,男,广东,"0001-00-00",腾讯视频（v.qq.com）定位于中国领先的综合视频门户，内容以电影、电视剧、综艺为主，同时发力诸多维度频道运营，最大限度贴合用户在线视频观看需要。,腾讯视频官方微博,"","",腾讯公司 ,99445,3222,14541918
"3752699924",腾讯电视剧,女,北京,"1982-10-24",你想看的电视剧资讯都在这里哦！,腾讯视频电视剧频道官方微博,"","","",26181,670,1675065
"6751224464",腾讯视频Beauty小姐,女,北京,"2018-10-12","",腾讯时尚《Beauty小姐》官方微博,"","","",1630,100,715536
"3182423937",腾讯娱乐,女,北京,"","",腾讯娱乐官方微博,"","","",10243,1492,531869
"1763084680",腾讯新闻出品,男,北京,"",今天也想跟大家一起玩！,腾讯新闻出品,"","","",8111,318,599673
"3758512144",腾讯综艺,男,北京,"",腾讯视频综艺频道官方微博！,腾讯视频综艺频道官方微博,"","","",41306,1720,4363806
"6426064539",腾讯视频娱乐,女,北京,"",腾讯视频娱乐频道官方微博,腾讯视频娱乐官方微博,"","","",14778,807,733207
"5203786516",腾讯动漫,男,北京,"1987-01-25",这里是企鹅娘，专注ACG各种资讯，还可以来这些地方找我玩哦~【APP下载】http://m.ac.qq.com/event/downloadForPc/index.html【漫画站】ac.qq.com 【资讯站】comic.qq.com,腾讯科技(北京)有限公司,"","","",15808,877,1221622
"5500545510",腾讯体育,男,北京,"",腾讯体育官方微博，将为您带来重要、好看、及时的体育资讯及体育明星最新动态。http://sports.qq.com/,腾讯体育官方微博,"","","",49164,393,3359629
"6479255096",腾讯微视,女,广东,"2007-08-19","",腾讯微视APP官方微博,"","","",15486,1419,1904172
"1930378853",腾讯微信团队,男,广东 广州,"01-01",微信四个官方网站的地址如下： 微信官网 weixin.qq.com 微信网页版 wx.qq.com 微信公众平台 mp.weixin.qq.com 微信开放平台 open.weixin.qq.com,腾讯微信官方微博,"","",腾讯科技(深圳)有限公司广州分公司 2005年-2011年,1228,46,597786
"6092234294",腾讯视频明日之子,男,北京,"2016-09-08",腾讯视频《明日之子》官方微博,腾讯视频《明日之子》官方微博,"","","",7889,405,1915945
"7401796719",腾讯视频创造营2020,女,北京,"2020-02-28",腾讯视频创造营2020官方微博,腾讯视频创造营2020官方微博,"","","",2031,144,714863
"2806170583",腾讯新闻,男,北京,"",一个喜欢到处聊天的官号。,腾讯新闻官方账号,"","","",19941,400,662416
"1846456085",腾讯公司,男,北京,"",腾讯公司官方微博,腾讯公司官方微博,"","","",1244,201,825835
"5687925374",腾讯视频拜托了冰箱,女,北京,"2015-06-01",本博由宇宙网红“首掌”带盐！全世界最好的美食就在你的冰箱里，只是你自己没发现！腾讯视频《拜托了冰箱》第五季4月10日起，每周三晚八点不见不散！,腾讯视频自制节目《拜托了冰箱》官方微博,"","","",5438,305,1506492
